Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200700000029;0;1;0;0;2;1;19;A01
200700000032;0;1;0;0;2;1;1;B02
200700000136;0;1;0;0;2;1;1;A01
200700000211;0;1;0;0;0;4;0;B02
200700000243;0;1;0;0;2;7;15;B02
200700000263;0;1;0;0;2;8;11;B02
200700000290;0;1;0;0;0;4;1;B02
200700000316;0;1;0;0;2;7;1;B02
200700000319;0;1;0;0;0;0;1;C03
200700000322;0;1;0;0;2;1;1;B02
200700000334;0;1;0;0;0;4;23;B02
200700000356;0;1;0;0;2;1;1;B02
200700000360;0;1;0;0;0;4;1;B02
200700000362;0;1;0;0;2;8;13;A01
200700000370;0;1;0;0;2;4;1;A01
200700000404;0;1;0;0;2;0;1;B02
200700000415;0;1;0;0;2;1;0;B02
200700000429;0;1;0;1;2;5;15;B02
200700000460;0;1;0;0;2;1;19;A01
200700000461;0;1;0;0;2;5;15;A01
200700000477;0;1;0;0;0;7;19;B02
200700000554;0;1;0;0;2;6;2;A01
200700000641;0;1;0;0;2;3;15;B02
200700000667;0;1;0;0;0;4;1;B02
200700000688;0;1;0;0;2;7;1;B02
200700000732;0;1;0;0;0;4;2;B02
200700000742;0;1;0;0;0;4;1;A01
200700000748;0;1;0;0;0;8;15;B02
200700000749;0;1;0;0;2;0;1;C03
200700000749;0;1;0;0;2;0;1;D04
200700000777;0;1;0;0;2;1;1;B02
200700000792;0;1;0;0;5;5;0;A01
200700000837;0;1;0;0;2;8;13;A01
200700000837;0;1;0;0;2;7;1;B02
200700000905;0;1;0;0;2;7;19;B02
200700000940;0;1;0;0;0;8;15;A01
200700001081;0;1;0;0;2;1;1;B02
200700001112;0;1;0;0;0;4;1;B02
200700001120;0;1;0;0;2;1;1;A01
200700001129;0;1;0;0;2;4;19;B02
200700001141;0;1;0;0;2;1;1;B02
200700001155;0;1;0;0;0;7;1;B02
200700001170;0;1;0;0;2;4;2;B02
200700001210;0;1;0;0;2;3;1;B02
200700001213;0;1;0;0;0;6;1;B02
200700001281;0;1;0;0;2;4;2;B02
200700001323;0;1;0;0;2;8;1;B02
200700001354;0;1;0;0;0;1;1;B02
200700001366;0;1;0;0;2;7;19;B02
200700001437;0;1;0;0;2;7;1;B02
200700001530;0;1;0;0;2;8;2;B02
200700001543;0;1;0;0;2;1;1;A01
200700001570;0;1;0;0;9;1;2;A01
200700001599;0;1;0;0;2;1;1;B01
200700001619;0;1;0;0;2;1;1;B01
200700001742;0;1;0;0;2;1;1;A01
200700001779;0;1;0;0;2;1;1;B01
200700001818;0;1;0;0;2;4;11;B01
200700001830;0;1;0;0;2;1;1;B01
200700001855;0;1;0;0;2;1;1;A01
200700001884;0;1;0;0;2;8;1;B01
200700001885;0;1;0;0;2;8;1;A01
200700001889;0;1;0;0;0;4;15;B01
200700001903;0;1;0;0;2;1;1;B01
200700001904;0;1;0;0;1;2;1;A01
200700001927;0;1;0;0;2;1;1;B01
200700001993;0;1;0;0;2;2;2;B01
200700002000;0;1;0;0;0;0;0;B01
200700002071;0;1;0;0;2;1;1;B01
200700002084;0;1;0;0;2;1;1;A01
200700002241;0;1;0;0;2;1;0;B01
200700002274;0;1;0;14;0;4;1;B01
200700002278;0;1;0;0;0;0;1;A01
200700002281;0;1;0;0;2;1;1;A01
200700002285;0;1;0;0;2;6;13;A01
200700002288;0;1;0;0;2;8;15;B01
200700002302;0;1;0;0;0;0;13;B01
200700002317;0;1;0;0;2;8;13;B01
200700002348;0;1;0;0;2;8;1;B01
200700002362;0;1;0;0;2;1;19;A01
200700002376;0;1;0;0;2;1;1;B01
200700002414;0;1;0;0;2;8;19;B01
200700002444;0;1;0;0;2;1;16;A01
200700002475;0;1;0;0;2;8;1;B01
200700002479;0;1;0;0;2;2;1;B01
200700002502;0;1;0;0;2;1;1;B01
200700002520;0;1;0;0;2;1;1;B01
200700002526;0;1;0;0;2;1;1;B01
200700002540;0;1;0;0;2;1;1;A01
200700002597;0;1;0;0;2;0;1;B01
200700002600;0;1;0;0;2;4;0;B01
200700002603;0;1;0;0;1;0;17;B01
200700002610;0;1;0;0;2;1;17;B01
200700002611;0;1;0;0;0;4;1;B01
200700002626;0;1;0;0;9;1;1;A01
200700002626;0;1;0;0;9;1;1;B01
200700002630;0;1;0;0;2;0;2;B01
200700002634;0;1;0;0;2;9;1;B01
200700002640;0;1;0;0;2;4;1;B01
200700002650;0;1;0;0;2;0;1;B01
200700002652;0;1;0;0;2;0;1;B01
200700002665;0;1;0;0;2;8;1;B01
200700002671;0;1;0;1;0;7;1;A01
200700002696;0;1;0;0;1;1;16;A01
200700002703;0;1;0;0;2;3;1;B01
200700002709;0;1;0;0;2;8;15;B01
200700002725;0;1;0;1;0;1;13;B01
200700002737;0;1;0;0;2;1;1;A01
200700002743;0;1;0;0;2;7;1;A01
200700002758;0;1;0;0;2;7;1;B01
200700002760;0;1;0;0;2;1;1;B01
200700002774;0;1;0;0;2;7;1;B01
200700002776;0;1;0;0;2;4;1;B01
200700002789;0;1;0;0;2;1;1;A01
200700002829;0;1;0;0;0;8;19;A01
200700002850;0;1;0;0;2;1;13;C01
200700002858;0;1;0;0;0;0;1;A01
200700002859;0;1;0;0;0;0;9;A01
200700002894;0;1;0;0;2;0;1;B01
200700002897;0;1;0;0;2;0;2;B01
200700002905;0;1;0;0;2;0;1;B01
200700002926;0;1;0;0;2;8;1;B01
200700002933;0;1;0;0;2;1;1;B01
200700002941;0;1;0;0;2;1;1;B01
200700002943;0;1;0;0;2;7;1;B01
200700002955;0;1;0;0;2;1;15;B01
200700002957;0;1;0;0;2;1;1;A01
200700002988;0;1;0;0;2;1;1;A01
200700002991;0;1;0;0;2;8;1;B01
200700003011;0;1;0;1;0;1;1;B01
200700003014;0;1;0;0;2;1;1;B01
200700003018;0;1;0;0;2;4;0;B01
200700003021;0;1;0;0;9;8;15;B01
200700003033;0;1;0;0;1;1;1;A01
200700003064;0;1;0;0;2;0;0;A01
200700003067;0;1;0;1;0;1;11;B01
200700003069;0;1;0;0;2;0;1;B01
200700003075;0;1;0;0;2;1;1;B01
200700003076;0;1;0;0;2;1;1;B01
200700003093;0;1;0;0;2;1;1;B01
200700003123;0;1;0;0;2;1;13;B01
200700003153;0;1;0;0;2;7;19;B01
200700003188;0;1;0;0;2;0;0;B01
200700003209;0;1;0;8;0;0;0;A01
200700003226;0;1;0;0;0;0;0;A01
200700003249;0;1;0;0;2;1;1;A01
200700003256;0;1;0;0;2;1;1;A01
200700003269;0;1;0;0;2;4;23;B01
200700003272;0;1;0;0;2;5;1;B01
200700003286;0;1;0;0;0;8;1;B01
200700003299;0;1;0;0;2;1;1;B01
200700003319;0;1;0;0;2;1;15;A01
200700003330;0;1;0;0;2;0;0;B01
200700003343;0;1;0;0;2;1;1;B01
200700003389;0;1;0;0;2;7;1;B01
200700003395;0;1;0;0;5;1;1;A01
200700003413;0;1;0;0;2;4;2;C01
200700003441;0;1;0;0;0;0;0;A01
200700003474;0;1;0;0;2;1;1;A01
200700003483;0;1;0;0;2;1;1;B01
200700003504;0;1;0;0;2;0;1;B01
200700003521;0;1;0;0;2;1;2;B01
