Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201200000029;3;54.0;;A;2.0;2.0;0.0;650.0;0.0;1.0;1.0;0.0;63.0;1.0;0.0;1.0;0.0
201200000030;3;120.0;;;2.0;0.0;9.0;500.0;0.0;2.0;3.0;0.0;67.0;1.0;0.0;3.0;99.0
201200000036;3;17.0;;;2.0;2.0;3.0;800.0;0.0;1.0;1.0;0.0;31.0;1.0;0.0;1.0;0.0
201200000046;3;17.0;;;2.0;0.0;35.0;420.0;0.0;0.0;3.0;0.0;62.0;1.0;0.0;1.0;99.0
201200000061;3;944.0;;;3.0;2.0;1.0;970.0;0.0;2.0;1.0;10.0;140.0;2.0;0.0;1.0;0.0
201200000077;3;38.0;;;2.0;1.0;4.0;625.0;1.0;1.0;1.0;0.0;80.0;1.0;0.0;1.0;99.0
201200000086;4;0.0;;;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201200000099;3;945.0;;;2.0;2.0;25.0;0.0;1.0;1.0;1.0;150.0;0.0;9.0;0.0;5.0;99.0
201200000104;4;0.0;;;2.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;54.0;1.0;0.0;1.0;0.0
201200000122;3;116.0;;;0.0;0.0;8.0;356.0;0.0;0.0;0.0;0.0;60.0;1.0;0.0;0.0;0.0
201200000123;3;934.0;;;2.0;2.0;8.0;700.0;0.0;1.0;1.0;0.0;78.0;1.0;0.0;4.0;0.0
201200000139;3;643.0;;;2.0;2.0;16.0;450.0;0.0;1.0;1.0;0.0;69.0;2.0;0.0;1.0;99.0
201200000151;3;15.0;;;2.0;2.0;2.0;940.0;0.0;0.0;1.0;0.0;55.0;1.0;5.0;0.0;0.0
201200000160;3;150.0;;;2.0;2.0;3.0;600.0;0.0;1.0;1.0;0.0;63.0;1.0;0.0;1.0;0.0
201200000176;3;117.0;;;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
201200000218;4;0.0;;;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;42.0;1.0;0.0;1.0;99.0
