Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
201300000026;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1963.0;A01;59.0
201300000050;1.0;1;3;1;2.0;1.0;0.0;0.0;0.0;1999.0;B02;23.0
201300000050;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1977.0;A01;45.0
201300000056;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1959.0;A01;63.0
201300000068;1.0;1;3;1;0.0;;0.0;0.0;0.0;2002.0;B02;20.0
201300000068;1.0;1;1;2;0.0;11.0;0.0;0.0;0.0;1990.0;A01;32.0
201300000085;1.0;1;3;2;3.0;1.0;0.0;0.0;0.0;1938.0;B02;84.0
201300000085;1.0;1;1;1;3.0;11.0;0.0;0.0;0.0;1959.0;A01;63.0
201300000092;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1972.0;B02;50.0
201300000092;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1921.0;A01;101.0
201300000100;1.0;1;4;2;5.0;22.0;0.0;0.0;0.0;1954.0;B02;68.0
201300000100;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1933.0;A01;89.0
201300000131;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1989.0;A01;33.0
201300000131;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;2002.0;B02;20.0
201300000140;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1943.0;A01;79.0
201300000140;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1949.0;B02;73.0
201300000142;1.0;1;1;1;2.0;1.0;0.0;0.0;0.0;1999.0;A01;23.0
201300000142;;3;3;1;2.0;;0.0;1.0;2.0;2009.0;A01;13.0
201300000185;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1998.0;B02;24.0
201300000185;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1987.0;A01;35.0
201300000185;2.0;2;1;2;0.0;11.0;0.0;0.0;0.0;1988.0;A01;34.0
201300000185;4.0;2;1;1;0.0;31.0;0.0;0.0;0.0;2010.0;A01;12.0
201300000192;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1970.0;B02;52.0
201300000192;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1994.0;A01;28.0
201300000193;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1984.0;A01;38.0
201300000193;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1995.0;B02;27.0
201300000212;1.0;1;3;1;5.0;1.0;0.0;0.0;0.0;1998.0;A01;24.0
201300000212;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1991.0;B02;31.0
