Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201800000004;18;5;5;1735;1;2;1;7.0;3.0;52;30 rue Jules Guesde;M;5051974.0;289123.0;590
201800000020;18;5;27;1600;1;1;1;1.0;7.0;586;rue de wachemy;M;5054129.0;318902.0;590
201800000044;18;9;29;1800;1;1;1;7.0;3.0;400;rue de maroeuil;M;5062556.0;262903.0;590
201800000051;18;8;26;1530;1;2;1;2.0;2.0;42;Rte départementale;M;5053908.0;326460.0;590
201800000056;18;4;10;1520;1;1;1;1.0;2.0;252;105 rue de quesnoy sur d;M;5068934.0;296942.0;590
201800000080;18;11;2;1650;1;1;1;1.0;2.0;290;rd 424, ROUTE DE CARTIGN;M;5010269.0;387925.0;590
201800000094;18;8;15;1130;1;1;1;2.0;2.0;450;D959;M;5011673.0;364089.0;590
201800000107;18;6;1;1330;1;2;6;3.0;3.0;139;rue aristide birand;M;5012199.0;342028.0;590
201800000150;18;9;30;945;1;1;2;1.0;3.0;29;D549;M;5048156.0;320767.0;590
201800000166;18;4;26;1915;1;2;1;1.0;2.0;265;1012 rue du cheval blanc;M;5027426.0;370720.0;590
201800000187;18;2;16;1735;1;2;1;1.0;2.0;173;ROUTE DÉPARTEMENTALE 950;M;5033859.0;301421.0;620
201800000209;18;2;4;1722;1;2;6;1.0;2.0;14;rue des alliés;M;5063717.0;239036.0;620
201800000213;18;6;14;815;1;2;3;1.0;5.0;811;Grande rue;M;5063797.0;225655.0;620
201800000216;18;10;17;1450;1;1;1;1.0;1.0;14;rue de monbus;M;5062565.0;234829.0;620
201800000222;18;4;11;1545;1;2;1;1.0;2.0;603;R D'ARREST;M;5010796.0;161532.0;800
201800000284;18;8;8;1740;1;1;1;1.0;7.0;638;Rue de la gare;M;4935495.0;231735.0;600
201800000285;18;8;10;1120;1;1;1;1.0;1.0;313;Chemin de la foret;M;4936975.0;225588.0;600
201800000311;18;4;11;915;1;1;3;1.0;3.0;86;intersection D118 et cc;M;4919394.0;232817.0;600
201800000317;18;10;20;1208;1;2;6;1.0;6.0;139;Intersection D 924 / D 4;M;4916692.0;224852.0;600
201800000326;18;7;18;840;1;1;6;1.0;3.0;589;rond point du VER BOIS;M;4922083.0;246687.0;600
201800000356;18;6;21;800;1;1;1;1.0;1.0;239;Départementale 39;M;4954817.0;33492.0;760
201800000361;18;10;9;1100;1;1;6;1.0;2.0;647;Intersection RD6015/RD81;M;4952947.0;34280.0;760
201800000390;18;9;17;1825;1;1;6;1.0;2.0;164;1 avenue du Latham 47;M;4952344.0;74967.0;760
201800000414;18;6;16;1454;1;2;3;1.0;7.0;165;Rue de la Forge;M;4896176.0;92378.0;270
201800000416;18;7;6;1400;1;1;1;1.0;2.0;602;Route Départementale 830;M;4900340.0;105848.0;270
201800000428;18;4;8;1240;1;1;1;1.0;3.0;448;D181;M;4903252.0;139942.0;270
201800000442;18;6;3;1400;1;2;1;7.0;1.0;16;RUE SAINT-FIACRE;M;4925057.0;143906.0;270
201800000456;18;9;29;840;1;2;2;1.0;3.0;439;Route de la vallée D52;M;4907842.0;116371.0;270
201800000462;18;5;7;1435;1;1;1;1.0;3.0;599;rue de la croix du vallo;M;4915294.0;140368.0;270
201800000482;18;9;6;710;2;2;2;1.0;1.0;458;rue du moulins / rue du;M;4932146.0;123025.0;270
201800000486;18;11;13;1057;1;2;3;7.0;1.0;47;rue Hippolyte Bousquet;M;4802378.0;-175675.0;350
201800000494;18;6;2;1625;1;1;1;1.0;2.0;76;RD 34;M;4805876.0;-179446.0;350
201800000495;18;7;8;1210;1;2;2;1.0;3.0;80;Chemin du Patis Cochet;M;4810245.0;-187465.0;350
201800000497;18;11;24;1630;1;2;3;1.0;1.0;37;RD 62;M;4806077.0;-187576.0;350
201800000501;18;7;14;1100;1;1;1;1.0;1.0;164;Le pont aux chèvres;M;4835932.0;-160516.0;350
201800000512;18;3;10;1535;1;2;6;1.0;3.0;236;rond point de la barre;M;4765760.0;-208427.0;350
201800000568;18;2;11;1100;1;1;1;2.0;7.0;273;"""Beau Soleil""";M;4855432.0;-254030.0;220
201800000569;18;5;4;1800;1;1;2;9.0;3.0;173;ST PLESTAN;M;4855272.0;-255751.0;220
201800000570;18;5;6;815;1;2;1;1.0;7.0;81;rue de brest;M;4848503.0;-264600.0;220
201800000575;18;7;18;2100;1;2;2;1.0;3.0;186;rue georges pompidou;M;4859337.0;-255083.0;220
201800000576;18;7;21;840;1;2;1;1.0;7.0;54;6 route du village de CA;M;4861468.0;-247999.0;220
201800000618;18;7;8;1730;1;1;1;1.0;3.0;179;RD 16 Rue du Cap;M;4866299.0;-232582.0;220
201800000620;18;8;19;1645;1;1;1;1.0;3.0;179;D34-Anse du Croc;M;4865450.0;-237142.0;220
201800000623;18;10;20;910;1;1;3;7.0;1.0;282;rue de la croix aux merl;M;4858574.0;-223860.0;220
201800000645;18;3;3;1130;1;2;1;1.0;6.0;46;10 avenue de la gare;M;4809563.0;-434364.0;290
201800000649;18;7;13;1440;1;2;1;1.0;6.0;46;79 rue jean JAURES;M;4808982.0;-432553.0;290
201800000651;18;5;15;1840;1;2;2;7.0;3.0;58;40 descente du cap;M;4789419.0;-400455.0;290
201800000666;18;12;9;830;2;1;1;1.0;1.0;45;rd 770 lieu dit roual hu;M;4842022.0;-425693.0;290
201800000688;18;7;18;1115;1;2;1;1.0;7.0;7;6 route du Bono;M;4766552.0;-296731.0;560
201800000690;18;8;13;1400;1;2;6;1.0;3.0;46;Kerzuc;M;4761311.0;-301129.0;560
201800000693;18;9;3;1735;1;2;1;1.0;4.0;176;Rue de la Paix;M;4769969.0;-290935.0;560
201800000700;18;7;12;1440;1;2;2;1.0;3.0;152;D30 route de Sauzon;M;4734757.0;-316026.0;560
201800000715;18;4;18;830;1;2;6;1.0;3.0;228;voie des alliés;M;4929959.0;-38097.0;140
201800000722;18;4;24;945;1;2;3;1.0;3.0;488;avenue Gambetta;M;4927865.0;-25948.0;140
201800000733;18;9;22;930;1;1;2;1.0;3.0;530;Croisement RD37 et RD 37;M;4922850.0;-24420.0;140
201800000736;18;1;23;1835;5;2;1;2.0;3.0;47;RUE DU MARCHÉ;M;4927970.0;-70880.0;140
201800000739;18;6;27;1200;1;2;2;1.0;3.0;47;Chemin de la croix Thoy;M;4927651.0;-71866.0;140
201800000748;18;12;17;1925;3;1;2;8.0;3.0;732;intersection D516 et D15;M;4929891.0;-68619.0;140
201800000812;18;1;23;1645;1;2;1;1.0;3.0;53;50, MERCIER (AVENUE AMED;M;4620415.0;524072.0;10
201800000813;18;2;5;1340;1;2;4;2.0;6.0;53;LECLERC (BVD  MARECHAL C;M;4620372.0;521863.0;10
201800000827;18;5;25;820;1;2;1;7.0;3.0;53;Rue de l'Ecole Normale;M;4619568.0;521760.0;10
201800000828;18;5;26;1735;1;2;1;1.0;3.0;344;TREVOUX (AVENUE DE);M;4620007.0;519156.0;10
201800000841;18;9;20;805;1;2;1;1.0;5.0;53;JAURES (AVENUE JEAN - CO;M;4619829.0;521740.0;10
201800000843;18;9;20;1640;1;2;1;1.0;6.0;53;Avenue de Lyon;M;4619249.0;521270.0;10
201800000853;18;11;29;2050;5;2;2;1.0;1.0;53;MERCIER (AVENUE AMEDEE D;M;4620358.0;524254.0;10
201800000864;18;2;23;745;2;2;6;1.0;3.0;204;rue de Nantes;M;4726468.0;-144397.0;440
201800000894;18;9;5;1855;1;2;2;1.0;3.0;47;rue niescierewicz;M;4721151.0;-171321.0;440
201800000913;18;10;10;945;1;2;1;1.0;2.0;195;10 rue laennec;M;4735589.0;-194315.0;440
