Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
201900000037;138 306 460;B01;1;1;4;1;1958;0;2;0;-1;-1;0;-1;64
201900000037;138 306 461;A01;1;1;1;1;1969;4;8;0;-1;-1;0;-1;53
201900000038;138 306 458;B01;1;1;4;2;1966;9;8;0;-1;-1; -1;-1;56
201900000038;138 306 459;A01;1;1;1;2;1986;9;1;8;-1;-1; -1;-1;36
201900000049;138 306 442;A01;1;1;4;2;1973;1;2;8;-1;-1; -1;-1;49
201900000051;138 306 437;B01;1;1;4;1;2004;0;8;0;-1;0;0;-1;18
201900000051;138 306 438;A01;1;1;1;1;1951;1;1;4;-1;-1; -1;-1;71
201900000059;138 306 423;A01;1;1;1;1;1992;0;8;0;-1;-1; -1;-1;30
201900000059;138 306 424;B01;1;1;4;2;1986;1;8;0;-1;-1; -1;-1;36
201900000060;138 306 421;A01;1;1;4;2;1996;0;8;0;-1;-1; -1;-1;26
201900000064;138 306 415;A01;1;1;4;2;2001;0;8;0;-1;-1; -1;-1;21
201900000065;138 306 412;A01;1;1;4;1;2002;0;8;0;-1;-1; -1;-1;20
201900000065;138 306 413;B01;1;1;1;1;1948;5;8;0;-1;-1; -1;-1;74
201900000065;138 306 413;B01;2;2;1;2;1961;0;8;0;-1;-1; -1;-1;61
201900000102;138 306 347;B01;1;1;4;1;1966;0;2;0;-1;0;0;-1;56
201900000102;138 306 348;A01;1;1;1;1;1986;0;1;0;-1;0;0;-1;36
201900000113;138 306 322;B01;1;1;1;2;1960;0;8;8;-1;-1; -1;-1;62
201900000113;138 306 323;A01;1;1;4;1;2002;0;8;0;-1;-1;0;-1;20
201900000113;138 306 323;A01;2;2;4;1;2002;0;8;0;-1;-1; -1;-1;20
201900000143;138 306 243;A01;1;1;1;1;1965;0;1;8;-1;-1;0;-1;57
201900000143;138 306 244;B01;1;1;4;2;2005;0;8;0;-1;-1;0;-1;17
201900000145;138 306 241;A01;10;3;3;2;1959;9;8;0;-1;5;4;1;63
201900000145;138 306 241;A01;1;1;1;1;1961;5;8;0;-1;-1; -1;-1;61
201900000151;138 306 231;B01;1;1;4;1;1987;5;2;9;-1;0;0;-1;35
201900000151;138 306 232;A01;1;1;1;1;1955;5;1;-1;-1;0;0;-1;67
201900000181;138 306 182;C01;1;1;3;1;1953;5;2;-1;-1;0;0;-1;69
201900000181;138 306 183;B01;1;1;1;1;1993;5;2;-1;-1;0;0;-1;29
201900000181;138 306 184;A01;1;1;1;2;2002;5;1;-1;-1;0;0;-1;20
201900000182;138 306 180;B01;1;1;2;1;1943;5;0;-1;-1;0;0;-1;79
201900000182;138 306 181;A01;1;1;1;1;1995;0;1;-1;-1;0;0;-1;27
201900000188;138 306 169;B01;1;1;4;1;1957;5;0;-1;-1;0;0;-1;65
201900000188;138 306 170;A01;1;1;1;2;1934;5;1;-1;-1;0;0;-1;88
201900000192;138 306 161;B01;1;1;4;1;1994;5;0;-1;-1;0;0;-1;28
201900000192;138 306 162;A01;1;1;1;1;1959;5;2;6;-1;0;0;-1;63
201900000192;138 306 162;A01;2;2;3;2;1962;5;2;6;-1;0;0;-1;60
201900000218;138 306 113;B01;1;1;3;1;1952;5;2;-1;-1;0;0;-1;70
201900000218;138 306 114;A01;1;1;1;1;1967;0;1;-1;-1;0;0;-1;55
201900000220;138 306 110;A01;1;1;1;1;1973;2;1;-1;-1;0;0;-1;49
201900000220;138 306 111;B01;1;1;3;1;2007;2;0;-1;-1;0;0;-1;15
201900000224;138 306 102;B01;1;1;4;1;1990;5;2;6;-1;0;0;-1;32
201900000224;138 306 102;B01;2;2;4;2;1994;5;2;6;-1;0;0;-1;28
201900000224;138 306 103;A01;1;1;3;1;1964;5;2;-1;-1;0;0;-1;58
201900000232;138 306 088;A01;1;1;1;2;1989;2;1;-1;-1;0;0;-1;33
201900000232;138 306 089;B01;1;1;3;1;1980;3;0;-1;-1;0;0;-1;42
201900000240;138 306 072;B01;1;1;3;1;1985;5;0;-1;-1;0;0;-1;37
201900000240;138 306 073;A01;1;1;1;2;1976;5;1;-1;-1;0;0;-1;46
201900000245;138 306 059;A01;1;1;1;1;1949;5;1;-1;-1;0;0;-1;73
201900000245;138 306 060;B01;1;1;3;1;2001;5;2;-1;-1;0;0;-1;21
