Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
201900000037;138 306 460;B01;2;1;0;2;8;19;5;
201900000038;138 306 458;B01;2;1;0;2;1;1;5;
201900000049;138 306 442;A01;1;1;14;0;0;0;5;
201900000051;138 306 437;B01;0;1;0;2;0;9;5;
201900000059;138 306 424;B01;0;1;0;2;1;1;5;
201900000060;138 306 421;A01;2;1;0;2;4;1;5;
201900000064;138 306 415;A01;0;1;0;2;7;1;5;
201900000065;138 306 412;A01;1;1;0;2;1;1;5;
201900000102;138 306 347;B01;2;1;0;2;2;1;5;
201900000113;138 306 323;A01;3;1;0;2;8;14;5;
201900000143;138 306 244;B01;2;1;0;2;1;5;5;
201900000145;138 306 241;A01;2;1;0;0;1;26;5;
201900000151;138 306 231;B01;0;1;0;2;1;1;5;
201900000181;138 306 182;C01;2;1;0;2;0;1;5;
201900000181;138 306 183;B01;2;1;0;2;0;1;5;
201900000182;138 306 180;B01;1;1;0;0;4;2;5;
201900000188;138 306 169;B01;2;1;0;2;3;1;5;
201900000192;138 306 161;B01;1;1;0;0;0;1;5;
201900000218;138 306 113;B01;1;1;0;2;7;15;5;
201900000220;138 306 111;B01;1;1;0;2;1;24;5;
201900000224;138 306 103;A01;1;1;0;2;8;10;5;
201900000232;138 306 089;B01;2;1;0;2;1;16;5;
201900000240;138 306 072;B01;1;1;0;0;7;15;5;
201900000245;138 306 060;B01;2;1;0;2;1;1;5;
201900000254;138 306 042;A01;2;1;0;2;8;1;5;
201900000257;138 306 038;A01;3;1;0;0;1;5;5;
201900000293;138 305 982;B01;1;1;0;2;1;5;5;
201900000305;138 305 958;B01;2;1;0;0;4;1;5;
201900000307;138 305 955;B01;2;1;0;2;1;0;5;
201900000310;138 305 950;A01;1;1;0;0;7;1;5;
201900000320;138 305 933;A01;2;1;0;1;1;1;5;
201900000329;138 305 919;B01;3;1;0;2;7;19;5;
201900000335;138 305 904;A01;3;1;0;1;1;15;5;
201900000337;138 305 898;A01;2;1;0;0;7;16;5;
201900000345;138 305 883;B01;3;1;0;2;8;1;5;
201900000350;138 305 870;B01;3;1;0;2;1;26;5;
201900000354;138 305 862;A01;3;1;0;2;7;19;5;
201900000360;138 305 855;A01;2;1;0;2;1;16;5;
201900000360;138 305 856;B01;1;1;0;2;1;9;5;
201900000368;138 305 841;B01;3;1;0;0;0;0;0;
201900000371;138 305 836;B01;3;1;0;2;1;19;5;
201900000374;138 305 832;A01;3;1;0;1;1;26;5;
201900000382;138 305 819;B01;3;1;0;2;8;1;5;
201900000394;138 305 801;B01;1;1;1;0;1;2;0;
201900000402;138 305 786;B01;1;1;0;2;5;16;0;
201900000443;138 305 714;B01;1;1;0;2;8;2;5;
201900000468;138 305 668;B01;1;1;0;2;1;1;5;
201900000478;138 305 652;B01;2;1;0;2;7;12;5;
201900000480;138 305 648;A01;1;1;0;1;1;1;5;
201900000483;138 305 642;A01;1;1;0;2;6;9;5;
201900000489;138 305 632;B01;2;1;0;2;3;9;5;
201900000498;138 305 618;B01;2;1;1;0;1;2;5;
201900000528;138 305 558;B01;3;1;0;2;1;1;5;
201900000530;138 305 553;B01;3;1;13;0;4;15;5;
201900000538;138 305 543;A01;1;1;0;0;0;1;5;
201900000558;138 305 508;A01;2;1;0;1;8;1;5;
201900000569;138 305 490;Z01;2;1;0;2;0;5;5;
201900000580;138 305 467;B01;2;1;0;2;1;0;0;
201900000587;138 305 455;B01;2;1;0;2;1;1;6;
201900000603;138 305 434;B01;2;1;0;2;7;19;5;
201900000613;138 305 420;B01;2;1;0;2;1;1;5;
201900000634;138 305 386;B01;1;1;0;0;4;2;6;
201900000641;138 305 373;B01;0;1;0;2;7;1;5;
201900000669;138 305 312;B01;1;1;0;2;8;1;5;
201900000670;138 305 310;B01;1;1;0;2;1;17;5;
201900000678;138 305 297;A01;2;1;0;0;1;1;5;
201900000684;138 305 283;Y01;3;1;0;2;7;1;0;
201900000690;138 305 274;B01;1;1;0;2;7;15;5;
201900000701;138 305 255;A01;1;1;0;2;1;2;5;
201900000708;138 305 242;A01;1;1;0;2;7;12;5;
201900000717;138 305 231;B01;1;1;0;2;1;15;5;
201900000733;138 305 202;B01;3;1;0;2;1;19;5;
201900000735;138 305 193;B01;3;1;0;0;0;0;5;
201900000740;138 305 185;B01;2;1;0;2;8;1;5;
201900000750;138 305 165;B01;1;1;0;2;1;19;5;
201900000764;138 305 141;A01;1;1;0;2;8;1;5;
201900000765;138 305 140;A01;1;1;1;0;1;1;5;
201900000771;138 305 131;A01;1;1;0;2;1;1;5;
201900000774;138 305 124;A01;1;1;0;2;0;1;5;
201900000774;138 305 125;B01;2;1;0;2;1;15;0;
201900000779;138 305 113;B01;1;1;0;2;8;1;5;
201900000793;138 305 084;B01;3;1;0;2;7;19;5;
201900000807;138 305 054;A01;1;1;0;2;4;7;5;
201900000810;138 305 049;B01;1;1;1;0;1;1;5;
201900000812;138 305 046;A01;2;1;0;2;1;1;5;
201900000815;138 305 042;A01;1;1;0;1;1;7;5;
201900000824;138 305 028;B01;2;1;0;2;1;1;5;
201900000841;138 305 002;B01;1;1;0;2;3;1;5;
201900000846;138 304 993;A01;3;1;0;1;1;1;5;
201900000857;138 304 972;A01;0;1;0;2;4;23;5;
201900000858;138 304 969;B01;0;1;0;2;5;2;5;
201900000858;138 304 970;A01;3;1;0;9;0;2;5;
201900000866;138 304 958;A01;2;1;10;0;1;1;5;
201900000879;138 304 936;B01;0;1;0;2;4;2;5;
201900000887;138 304 924;B01;2;1;0;2;8;5;5;
201900000888;138 304 921;B01;3;1;0;9;2;19;5;
201900000889;138 304 919;A01;1;1;0;2;1;2;5;
201900000889;138 304 920;B01;1;1;0;0;4;2;5;
201900000907;138 304 892;B01;0;1;0;2;7;19;5;
201900000965;138 304 784;A01;2;1;0;2;8;1;5;
201900000991;138 304 735;B01;1;1;0;2;1;1;5;
201900001003;138 304 716;B01;1;1;0;2;7;1;5;
201900001022;138 304 686;B01;2;1;0;2;1;1;5;
201900001041;138 304 661;A01;1;1;0;2;1;2;5;
201900001049;138 304 645;B01;2;1;0;2;8;2;6;
201900001131;138 304 476;A01;3;1;0;2;1;2;6;
201900001142;138 304 453;B01;2;1;0;2;1;1;0;
201900001156;138 304 421;A01;2;1;0;2;1;19;5;
201900001164;138 304 396;Z01;1;1;0;1;1;2;5;
201900001166;138 304 394;B01;1;1;0;2;8;1;5;
201900001174;138 304 380;A01;2;1;12;0;2;26;5;
201900001190;138 304 355;A01;2;1;0;2;8;1;5;
201900001388;138 303 936;B01;3;1;0;2;1;26;0;
201900001402;138 303 907;B01;0;1;0;2;8;1;5;
201900001414;138 303 890;A01;2;1;9;0;1;13;5;
201900001426;138 303 872;A01;2;1;0;2;8;19;5;
201900001447;138 303 832;A01;3;1;0;2;3;13;5;
201900001454;138 303 817;B01;2;1;1;0;1;17;6;
201900001459;138 303 809;B01;1;1;0;2;1;1;5;
201900001471;138 303 785;B01;1;1;0;0;0;1;5;
