Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000000011;7;22;0;;2;3;0;1;(1);(1);3;; -1;1;0;1;50
202000000014;4;;0;;2;2;1;1;(1);(1);3;; -1;1;0;1;50
202000000031;4;;0;;3;4;0;1;0;0;1;; -1;2;0;1;50
202000000032;4;;0;;2;4;1;1;0;0;1;; -1;1;0;5;30
202000000035;4;;0;;1;3;3;1;0;0;1;; -1;1;0;6;50
202000000059;3;1516;0;;2;2;0;2;15;625;1;; -1;1;0;1;50
202000000067;3;430;-1;;2;2;0;1;0;800;2;; -1;1;5;1;50
202000000075;3;17;-1;;2;2;1;2;21;600;1;; -1;1;0;1;50
202000000076;4;;0;;2;2;3;1;(1);(1);1;;4;1;9;6;50
202000000109;4;PATRICE LUMUMBA (RUE);0;;1;1;0;1;(1);(1);1;;5;1;0;1;30
202000000122;4;GARIBALDI (BOULEVARD DES);0;;1;2;0;1;0;0;1;; -1;2;0;1;50
202000000126;4;RUE HOSEPH DE MONTGOLFIER;0;;2;3;1;1;0;1;1;; -1;1;0;1;50
202000000152;3;114;-1;;-1;2;0;3;(1);(1);2;; -1;1;0;3;-1
202000000164;3;77;-1;;1;1;0;1;0;600;2;; -1;1;5;1;30
202000000180;4;268;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
202000000189;3;CHANTACO (AVENUE DE );0;;2;2;0;1;3;0;1;; -1;1;0;1;70
202000000197;3;4;0;A;-1;2;0;2;0;0;1;; -1;2;0;1;50
202000000213;4;;0;;-1;2;0;2;0;0;1;; -1;1;0;1;50
202000000214;4;;0;;-1;1;1;1;0;0;1;; -1;1;-1;5;50
202000000216;4;;0;;2;4;1;1;0;0;1;; -1;1;-1;5;30
202000000218;3;127;0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000000220;3;QUEUE EN BRIE (RTE DE LA);0;;1;1;0;1;(1);(1);2;; -1;1;0;1;50
202000000225;3;7;0;;2;2;1;1;0;0;1;; -1;1;0;5;30
202000000237;3;215;0;D;2;2;0;2;8;0;1;; -1;8;0;1;50
202000000242;3;920;-1;;2;2;0;2;0;250;2;; -1;1;0;1;50
202000000243;4;Avenue du Truc Vert;0;;2;2;2;1;(1);(1);2;; -1;2;0;5;50
202000000264;3;20;0;;2;2;0;1;5;950;1;; -1;1;0;1;80
202000000265;4;;-1;;1;1;0;2;(1);(1);1;; -1;1;0;1;50
202000000283;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
