Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202100000001;267 638;201 764;B01;1;1;3;1;2000.0;1;0;9;-1;0;0;-1;22.0
202100000001;267 639;201 765;A01;1;1;1;1;1978.0;1;1;-1;-1;0;0;-1;44.0
202100000006;267 625;201 752;B01;1;1;4;1;2009.0;2;0;-1;-1;0;0;-1;13.0
202100000006;267 626;201 753;A01;1;1;1;1;1976.0;5;1;-1;-1;0;0;-1;46.0
202100000038;267 533;201 693;B01;1;1;3;1;2001.0;5;-1;-1;-1;0;0;-1;21.0
202100000038;267 534;201 694;A01;1;1;1;-1;;-1;8;-1;-1;0;0;-1;
202100000051;267 481;201 657;B01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100000051;267 482;201 658;A01;1;1;4;2;1981.0;5;8;8;-1;-1; -1;-1;41.0
202100000070;267 431;201 625;B01;1;1;4;1;2005.0;-1;0;-1;-1;-1; -1;-1;17.0
202100000070;267 432;201 626;A01;1;1;1;1;1969.0;-1;0;-1;-1;-1; -1;-1;53.0
202100000071;267 428;201 623;B01;1;1;3;1;2007.0;0;0;-1;-1;-1; -1;-1;15.0
202100000071;267 429;201 623;B01;2;2;1;1;2007.0;0;0;-1;-1;-1; -1;-1;15.0
202100000071;267 430;201 624;A01;1;1;1;2;1980.0;0;1;0;-1;-1; -1;-1;42.0
202100000101;267 343;201 570;A01;1;1;2;1;1938.0;5;2;-1;-1;0;0;-1;84.0
202100000101;267 344;201 571;B01;1;1;4;1;1950.0;5;2;-1;-1;0;0;-1;72.0
202100000107;267 329;201 559;A01;1;1;1;1;1963.0;1;8;-1;-1;-1; -1;-1;59.0
202100000107;267 330;201 560;B01;1;1;2;1;1965.0;-1;2;-1;-1;-1; -1;-1;57.0
202100000108;267 328;201 558;A01;1;1;2;2;2007.0;5;8;0;-1;-1; -1;-1;15.0
202100000136;267 255;201 507;A01;1;1;1;1;1968.0;4;1;0;-1;-1; -1;-1;54.0
202100000136;267 256;201 508;B01;1;1;3;2;1977.0;0;8;0;-1;-1; -1;-1;45.0
202100000162;267 192;201 456;B01;1;1;4;1;1962.0;1;2;0;-1;-1; -1;-1;60.0
202100000162;267 193;201 457;A01;1;1;1;2;1960.0;1;1;0;-1;-1; -1;-1;62.0
202100000175;267 157;201 432;A01;1;1;2;1;1954.0;5;2;-1;-1;0;0;-1;68.0
202100000179;267 144;201 422;A01;1;1;4;2;1989.0;9;0;-1;-1;-1; -1;-1;33.0
202100000179;267 145;201 423;B01;1;1;1;2;1978.0;9;1;-1;-1;-1; -1;-1;44.0
202100000180;267 142;201 420;A01;1;1;4;2;1968.0;1;2;-1;-1;-1; -1;-1;54.0
202100000180;267 143;201 421;B01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100000181;267 140;201 418;B01;1;1;3;2;1952.0;5;0;-1;-1;0;0;-1;70.0
202100000181;267 141;201 419;A01;1;1;1;2;1960.0;9;1;-1;-1;0;0;-1;62.0
202100000195;267 104;201 393;B01;1;1;1;1;1983.0;4;8;-1;-1;0;0;-1;39.0
202100000195;267 105;201 394;A01;1;1;3;1;1997.0;1;2;-1;-1;0;0;-1;25.0
202100000201;267 085;201 379;A01;1;1;1;2;1974.0;4;8;8;-1;-1; -1;-1;48.0
202100000201;267 086;201 380;B01;1;1;4;1;1935.0;5;0;-1;-1;-1; -1;-1;87.0
202100000203;267 082;201 376;A01;1;1;3;2;1944.0;5;2;-1;-1;0;0;-1;78.0
