Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200000016;21;10;2022;16:32;1;75;75106;2;1;1;3;RUE DE VAUGIRARD;48.847999;2.330176
202200000017;20;10;2022;13:00;1;75;75105;2;2;1;3;BOULEVARD SAINT GERMAIN;48.851387;2.343186
202200000025;21;10;2022;11:25;1;75;75113;2;4;1;6;BOULEVARD KELLERMANN;48.821028;2.354515
202200000027;21;10;2022;15:50;1;75;75103;2;2;1;6;RUE DE TURENNE;48.861327;2.364602
202200000046;21;10;2022;19:40;5;93;93049;2;2;1;3;Avenue Jean Jaurès / Avenue Victor Hugo;48.8587;2.50654
202200000058;21;10;2022;20:00;5;92;92048;2;1;1;2;JEAN JAURES (AVENUE) N° 8 A 72;48.81288;2.2462
202200000060;21;10;2022;09:26;1;92;92060;2;1;2;3;ARTHUR RANC (RUE);48.78449;2.27488
202200000062;21;10;2022;14:40;1;92;92012;2;1;1;3;THIERS (RUE) 1/65;48.837121;2.248365
202200000087;18;10;2022;11:03;1;29;29075;2;6;1;3;Rond Point de la Vallée;48.431226;-4.402658
202200000092;12;10;2022;10:45;1;09;09173;1;1;1;2;route de crampagna;43.036357;1.540797
202200000120;10;9;2022;16:00;1;56;56262;2;1;1;3;Rue du General de Gaulle;47.638231;-2.952866
202200000147;20;10;2022;12:00;1;75;75105;2;3;1;3;BOULEVARD DE PORT ROYAL;48.839552;2.337271
202200000152;20;10;2022;08:18;2;75;75115;2;1;2;7;AVENUE DU MAINE;48.84061;2.321498
202200000157;20;10;2022;19:20;5;75;75111;2;1;3;6;RUE RICHARD LENOIR;48.854984;2.382112
202200000164;7;8;2022;04:23;5;49;49007;2;1;1;7;POISSONNERIE;47.47312;-0.55637
202200000165;9;8;2022;09:27;1;45;45234;2;3;1;3;5 Rue Georges Pompidou;47.886831;1.903207
202200000166;9;8;2022;07:40;1;45;45302;2;6;1;3;75 Rue des Sables de Sary;47.94735;1.86528
202200000176;8;8;2022;15:10;1;17;17300;2;1;1;3;CORDELIERS  AVENUE DES;46.166;-1.14184
202200000184;9;8;2022;02:30;5;75;75120;2;2;1;3;RUE DES PYRENEES;48.859163;2.402127
202200000203;9;8;2022;19:40;1;92;92064;2;3;1;7;REPUBLIQUE;48.8442803244;2.2075653076
202200000217;21;7;2022;10:05;1;79;79284;2;1;1;3;10 Rue du Député Disleau;46.44336;-0.44768
