Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300000017;7;5;2023;21:40;5;92;92007;2;9;2;3;VERDUN (RUE DE) NÂ° PAIRS;48,80202300;2,31800600
202300000025;6;5;2023;10:10;1;67;67465;2;1;1;3;17 rue albert fuchs;48,79991000;7,98321400
202300000033;7;5;2023;12:30;1;29;29105;2;1;1;3;Rue du GÃ©nÃ©ral de Gaulle;48,50973500; -4,07505900
202300000042;5;5;2023;12:15;1;17;17218;2;1;1;6;41 Rue des Moulins;46,30733800; -0,99866400
202300000047;8;5;2023;07:45;2;34;34333;1;6;1;3;D612;43,50098500;3,78650400
202300000049;8;5;2023;02:20;3;34;34172;1;1;1;4;A709;43,60185300;3,92244100
202300000064;4;5;2023;15:50;1;33;33019;2;1;1;3;38bis Route de Bordeaux;44,68750800; -1,00137100
202300000118;30;11;2023;14:50;1;61;61369;1;1;3;2;D962;48,62203000; -0,63851500
202300000140;28;3;2023;08:07;1;57;57480;2;1;1;3;MARLY (RUE DE );49,09370000;6,16252000
202300000142;28;3;2023;07:48;2;56;56162;2;6;1;3;24 Rue du Fort BloquÃ©;47,73655000; -3,43250000
202300000146;28;3;2023;17:45;1;51;51108;2;3;1;3;AllÃ©es de ForÃªts;48,94682000;4,36500000
202300000172;28;3;2023;18:22;1;13;13201;2;1;1;1;SAINT FERREOL (RUE)      2 A 62;43,29500000;5,37740000
202300000203;8;8;2023;13:00;1;93;93048;2;3;1;3;PRESIDENT WILSON (AVENUE DU);48,85742000;2,44007000
202300000221;31;8;2023;12:45;1;14;14724;1;1;1;2;Route de Cabourg;49,26880100; -0,15799200
202300000261;26;3;2023;03:30;3;49;49007;2;1;2;2;RABELAIS;47,46300000; -0,54774000
202300000279;21;12;2023;19:20;4;67;67482;2;3;2;3;HERRENSCHMIDT (AVENUE);48,59879000;7,75289000
202300000284;27;3;2023;13:35;1;09;09225;2;9;2;6;FOIX AVENUE DE;43,10779000;1,61857000
202300000285;29;11;2023;13:50;1;69;69115;2;1;1;2;Rue Pierre Ponot;45,97500000;4,70644000
202300000286;16;5;2023;09:30;1;63;63113;2;1;1;3;rue Auger;45,78180000;3,10540000
202300000291;29;11;2023;06:50;5;69;69290;2;4;1;1;MontÃ©e du Lyonnais;45,70340000;4,89543000
202300000294;29;11;2023;10:48;1;64;64122;2;4;1;3;"""KENNEDY (AVENUE DU PRESIDENT J,F)""";43,46101000; -1,54889000
202300000296;29;11;2023;18:10;5;63;63113;2;1;1;7;SAINT JACQUES (VIADUC);45,76860000;3,08975000
202300000304;30;5;2023;17:44;1;63;63032;2;1;1;3;avenue de l'Europe;45,75320000;3,08980000
202300000306;30;5;2023;18:59;1;63;63113;2;1;1;3;30 rue Jean Monnet ;45,79309300;3,06887300
202300000326;16;5;2023;09:36;1;63;63113;2;4;3;3;Cartoucherie / Herbet;45,77867000;3,11669000
202300000349;20;6;2023;13:40;1;72;72181;2;1;1;3;BOLLEE (AV) NÂ° IMP 1 A 63;48,00214000;0,20727000
202300000390;27;8;2023;09:55;1;93;93006;2;4;1;3;REPUBLIQUE AVENUE DE LA ;48,86335000;2,41434000
